Predictions,Actual_Values
99860.484,96714.44398435004
98161.96,88471.56333058141
96452.195,97357.87080729332
100799.92,87622.07632810669
99538.94,94441.91920986956
99398.016,96067.66658855
104618.55,92638.88046876335
98054.35,93286.56085938
101936.73,99051.57945311668
101257.25,91134.03932291668
104612.53,95754.66179688668
100321.53,87638.84466145001
100308.555,94650.01197915002
102894.086,92259.58458332336
102944.984,92178.67539064332
104559.75,95277.09020832332
101060.02,91259.72802083
104434.555,85223.20312502662
105088.03,96318.0504947567
106078.01,92058.83385417332
108983.87,93922.61971353996
110159.54,92777.6980989933
107355.375,90974.79921876664
110028.58,91960.36497399582
108876.79,91198.81187500664
113753.69,91643.62041664336
106512.94,91019.46166668997
109057.53,94439.08807297326
115309.34,94008.34419271669
118726.625,91251.78455733994
118742.85,95019.20690103332
121085.164,88250.18947916664
121887.42,95442.7342708167
115009.72,93209.36799482
121911.3,92961.43427084
130653.375,93380.21972657916
126269.48,92526.39505208
123139.69,92549.42705727002
123533.18,97221.16286457336
130164.45,95253.68226565994
132149.33,98135.89296876664
134174.56,105781.55614585664
129069.95,103731.44877606328
140855.97,100398.84906253326
134325.39,110588.2951822767
134877.17,105704.11609374332
137143.56,114666.25559893336
146496.33,121002.12776695415
148902.05,114191.09575521336
148340.33,125945.16950521
146514.56,123499.47856770332
152423.25,126653.9536718334
157460.5,130835.50986978
155492.22,132200.33218751664
159955.19,135811.56276042006
158572.17,130667.47023433672
160342.75,139321.58307291663
156830.38,135316.2915625
162529.48,135709.95578123335
159282.03,137273.3679362
166567.36,141952.68151041667
165166.39,143165.69072916667
174468.88,139009.60213541667
168094.48,144265.4653125
171590.56,154476.19619791667
170393.61,146547.49286458333
170446.81,150254.83140625
177791.67,152108.71895833337
175651.14,145672.72572916668
168101.22,158417.95125
175953.58,158376.00989583333
177540.6,154997.77434895837
181496.25,157606.8409375
182335.97,154154.94453125
181759.58,158296.26734375
182101.05,162863.22286458337
182673.23,157409.71135416668
190498.95,163661.29276041663
184007.56,161197.42203125
182948.58,156180.83578125
188103.06,162037.2546875
181709.45,164384.18604166663
189263.89,169086.70140625
187045.83,166161.76419270833
179270.3,159877.67510416667
182316.0,161527.57755208333
186458.62,161493.06229166663
192878.11,158969.8011458333
192927.72,167385.35223958333
