Predictions,Actual_Values
87282.55,92639.81546872007
89782.766,92173.70989583996
89680.695,94915.37588539672
90148.09,92065.33789062002
92212.836,85307.18213538
92737.83,93501.08010416332
84952.66,91287.69304687668
86409.21,89287.63812498002
89620.28,91244.6896615033
91364.05,84567.5224739367
86515.625,88005.56843750001
91270.14,89592.13151037921
88411.61,81539.73494788008
90913.16,81837.25010416997
88179.89,81105.29843749
88917.71,81606.90731772
93771.14,77912.18466147668
89160.516,83779.86544270336
90461.39,81842.67455729
90121.27,80121.53247396999
91199.62,81201.0550521033
90603.93,81259.97893226669
94495.41,83914.21903645332
94947.52,79309.31803384997
93223.03,83716.08601563997
95446.25,84666.43994791666
96238.34,85030.65835938997
98711.67,89569.84572916004
99432.375,81919.69080727003
98793.37,86344.15406251665
100167.125,87366.9525520667
98750.234,86462.59721355666
100718.05,89012.48929684004
106068.984,87037.30984376332
106467.97,88895.03075524663
107308.72,85827.12343751246
105847.74,90393.5729167033
105688.78,97261.27088542996
113346.54,95728.28919270005
111664.34,95857.87268228334
115795.95,95472.65515623668
112704.68,95805.30229166336
112758.8,88476.7993489467
117901.27,99465.01708331
120340.2,99173.46559898664
122106.82,96020.53559893338
123388.89,95936.76874997666
122264.414,94676.264518225
126768.19,103522.28544275994
130342.75,98287.28057292664
127496.484,107561.19148439664
131259.4,117447.88315103002
134868.33,112344.45552083332
132119.25,117546.08835935006
131751.9,118734.07083333663
142748.72,117091.08903647994
138875.92,125290.43630208333
141691.86,130297.49898435337
148469.58,137838.48070313002
148661.81,137411.02838541663
147630.12,141181.45770832663
149531.31,139476.01533855
153375.05,153902.616875
150326.52,150442.67760416667
153329.95,162882.03645833337
150831.47,153219.67395833333
155654.31,151761.45723958337
158455.89,160303.21536458333
159507.48,157692.96072916663
154505.67,155525.12447916667
162491.58,157500.69833333333
168941.12,157971.79563802082
164258.72,172457.95161458335
166622.95,167452.39583333337
162999.6,170256.30380208333
169072.61,172381.46171875
166998.03,168647.46963541667
169019.83,166705.72953125
172966.66,168798.47614583332
171812.2,168488.21625
167151.84,172137.2191145833
171417.28,169040.41291666665
170386.28,170486.71609375
168797.16,181023.2671875
178058.16,177971.95447916663
174723.05,169111.47994791667
174466.23,169131.96927083333
172858.28,167433.84239583337
168882.12,176231.19661458337
176958.9,172919.28848958333
178136.31,167016.2574479167
176686.77,163570.43953125
175454.4,161159.29838541665
180883.5,151388.80364583337
181025.28,154780.4378645833
175347.62,154109.56549479163
175874.48,150643.5777604167
183104.64,144846.92416666663
176108.22,143963.475625
175757.72,148353.28473958332
176499.61,147149.04583333337
175874.02,144660.9495833333
174206.97,146470.0721875
176158.6,141170.83291666667
175937.5,145303.22447916667
178564.11,139672.08375
180904.25,137298.37223958998
183231.97,145614.80625
171940.77,150030.92348958337
173037.42,149404.37572916667
182640.58,154123.2628125
181371.47,148766.88536458337
174723.75,154558.36994791665
177711.19,153833.87708333333
183785.25,158862.7884375
179581.08,161027.46739583337
177735.61,158761.13776041663
179336.17,159187.954375
181565.22,160482.12859375
177190.05,160604.80709635414
173763.16,161839.01145833332
181886.58,160447.5465104167
174442.95,153783.56041666667
177510.03,160160.03541666668
176380.97,157069.1328125
177608.97,161061.905
171668.11,154289.60526041663
178053.3,160112.11026041667
176370.88,150044.19880208332
172003.83,155789.71765625
171872.48,148633.79442708337
177460.02,155938.546484375
172568.8,156785.64067708337
173926.94,146049.84401041668
166261.8,148636.264375
173947.48,145744.7926041667
171439.3,140989.91343750665
164924.66,146793.1278125
169048.58,146537.00541666665
163930.94,147898.26083333333
168915.98,142397.39739583337
162124.75,147818.48354166668
161528.5,151756.5678125
162053.72,142020.00611979168
161680.02,145722.66380208332
166167.84,146245.45973958337
161094.61,142412.87354166663
160305.31,140067.96697916667
157626.0,142222.1415625
155832.16,139275.99541666667
154754.94,142838.69791666663
154943.45,143948.74442708332
151568.45,143487.64520833333
153514.64,141537.42005208333
149378.89,133858.0622395667
148874.89,131254.43626302082
