,acts,preds,hold_out_loss
0,101143.45096355,99766.0,29941.830078125
1,101940.75686523998,22479.68359375,29941.830078125
2,99814.99216147664,30134.453125,29941.830078125
3,99215.02249022252,107918.640625,29941.830078125
4,97292.75263021,38155.8125,29941.830078125
5,102665.43912760164,44689.3203125,29941.830078125
6,101813.39561199,12122.310546875,29941.830078125
7,102178.92285156665,103983.421875,29941.830078125
8,103662.400481775,62970.56640625,29941.830078125
9,100177.839492185,27297.521484375,29941.830078125
10,101679.06794270666,104864.28125,29941.830078125
11,100192.84326825329,104866.609375,29941.830078125
12,101479.12626301502,110018.328125,29941.830078125
13,103482.02615886623,80977.609375,29941.830078125
14,104411.15822916669,126361.2265625,29941.830078125
15,103364.46876953793,111619.6328125,29941.830078125
16,104949.02490885666,95355.125,29941.830078125
17,106925.63084637665,93877.1953125,29941.830078125
18,107770.63898586649,55794.14453125,29941.830078125
19,109963.92738282,77649.984375,29941.830078125
20,107865.71760417832,70513.9140625,29941.830078125
21,112382.81138021164,104433.1796875,29941.830078125
22,113248.83041666663,54616.52734375,29941.830078125
23,112515.17766926836,33661.234375,29941.830078125
24,122053.36406249332,85617.7421875,29941.830078125
25,121950.87493490164,70324.6796875,29941.830078125
26,125100.15278646669,-0.0,29941.830078125
27,124106.31162759336,87843.9375,29941.830078125
28,137638.40151041336,55318.5390625,29941.830078125
29,133892.686002595,65521.578125,29941.830078125
30,135370.49764325167,124099.046875,29941.830078125
31,136708.88149739665,61862.859375,29941.830078125
32,142098.10226559668,40931.8203125,29941.830078125
33,146892.60743491002,104957.359375,29941.830078125
34,152642.96359375,129102.6328125,29941.830078125
35,162779.5511197917,55102.39453125,29941.830078125
36,166839.1691666667,41811.40625,29941.830078125
37,171200.853515625,125095.1640625,29941.830078125
38,168601.15044270837,74633.078125,29941.830078125
39,173302.22080729168,149923.984375,29941.830078125
40,170149.85515625,57049.4609375,29941.830078125
41,174705.7356640633,127965.2578125,29941.830078125
42,174795.1396751324,77526.0078125,29941.830078125
43,176751.85697916665,101423.90625,29941.830078125
44,177467.49856770833,124748.34375,29941.830078125
45,178343.92195312495,134699.078125,29941.830078125
46,179278.79895833333,61328.26953125,29941.830078125
47,180094.69618954317,117961.4609375,29941.830078125
48,189970.90010416665,40996.78515625,29941.830078125
49,186954.4969466146,100087.4765625,29941.830078125
50,186145.391875,86875.6328125,29941.830078125
51,195530.300703125,155402.796875,29941.830078125
52,187855.6323958333,103933.453125,29941.830078125
53,193359.26640625,138241.515625,29941.830078125
54,190723.84338541672,72772.234375,29941.830078125
55,191542.37414196046,103829.3125,29941.830078125
56,188777.67497395835,12949.2080078125,29941.830078125
57,190153.05122395832,169581.765625,29941.830078125
58,191468.62244791663,100700.625,29941.830078125
59,188155.63338541664,-0.0,29941.830078125
60,189113.13026041663,173253.15625,29941.830078125
61,184850.42954427085,99447.8515625,29941.830078125
62,188326.99763020832,136276.28125,29941.830078125
63,189329.40776041668,160472.5,29941.830078125
64,182173.56197916664,7490.61279296875,29941.830078125
65,186075.1203125,173622.875,29941.830078125
66,180874.98345012887,177690.671875,29941.830078125
67,178947.00130208328,29361.787109375,29941.830078125
68,175138.47966145835,170512.375,29941.830078125
69,175501.0471875,159801.671875,29941.830078125
70,171377.90520833337,83874.46875,29941.830078125
71,171709.30518229163,212517.28125,29941.830078125
72,165606.1180208333,186350.375,29941.830078125
73,165197.6352799479,123738.734375,29941.830078125
74,165169.35341145835,174068.109375,29941.830078125
75,165000.70929036458,-0.0,29941.830078125
76,164174.38908854168,160232.703125,29941.830078125
77,162222.61778645837,155026.5625,29941.830078125
78,170168.28226562493,199353.671875,29941.830078125
79,171738.09705729163,142221.625,29941.830078125
80,175486.716171875,54717.87109375,29941.830078125
81,176497.45947916663,204846.09375,29941.830078125
82,180908.36239583328,137946.15625,29941.830078125
83,181488.4648177084,67676.9609375,29941.830078125
84,197917.53607253087,257517.359375,29941.830078125
85,196532.89557291663,261818.625,29941.830078125
86,187991.79302083328,80967.4140625,29941.830078125
87,188969.22708333333,261132.71875,29941.830078125
88,186840.45385416667,140630.359375,29941.830078125
