,acts,preds,hold_out_loss
0,101143.45096355,76357.171875,39048.14453125
1,101940.75686523998,7155.84716796875,39048.14453125
2,99814.99216147664,11111.8251953125,39048.14453125
3,99215.02249022252,99401.5,39048.14453125
4,97292.75263021,19887.40625,39048.14453125
5,102665.43912760164,29600.19140625,39048.14453125
6,101813.39561199,-0.0,39048.14453125
7,102178.92285156665,81934.5078125,39048.14453125
8,103662.400481775,48178.70703125,39048.14453125
9,100177.839492185,18829.55078125,39048.14453125
10,101679.06794270666,89673.359375,39048.14453125
11,100192.84326825329,92753.703125,39048.14453125
12,101479.12626301502,82311.0625,39048.14453125
13,103482.02615886623,54786.24609375,39048.14453125
14,104411.15822916669,121206.140625,39048.14453125
15,103364.46876953793,95587.578125,39048.14453125
16,104949.02490885666,74054.390625,39048.14453125
17,106925.63084637665,62589.8125,39048.14453125
18,107770.63898586649,32582.671875,39048.14453125
19,109963.92738282,48473.8125,39048.14453125
20,107865.71760417832,49527.37890625,39048.14453125
21,112382.81138021164,94700.765625,39048.14453125
22,113248.83041666663,41303.984375,39048.14453125
23,112515.17766926836,20471.193359375,39048.14453125
24,122053.36406249332,66777.7109375,39048.14453125
25,121950.87493490164,44848.44140625,39048.14453125
26,125100.15278646669,-0.0,39048.14453125
27,124106.31162759336,54161.00390625,39048.14453125
28,137638.40151041336,38786.52734375,39048.14453125
29,133892.686002595,38131.69140625,39048.14453125
30,135370.49764325167,116063.984375,39048.14453125
31,136708.88149739665,40894.37109375,39048.14453125
32,142098.10226559668,25958.5390625,39048.14453125
33,146892.60743491002,92333.7734375,39048.14453125
34,152642.96359375,124063.3828125,39048.14453125
35,162779.5511197917,30810.58203125,39048.14453125
36,166839.1691666667,18854.349609375,39048.14453125
37,171200.853515625,106424.2265625,39048.14453125
38,168601.15044270837,45207.8984375,39048.14453125
39,173302.22080729168,140464.125,39048.14453125
40,170149.85515625,39318.17578125,39048.14453125
41,174705.7356640633,110850.59375,39048.14453125
42,174795.1396751324,54769.3515625,39048.14453125
43,176751.85697916665,78761.484375,39048.14453125
44,177467.49856770833,81734.1640625,39048.14453125
45,178343.92195312495,118388.4765625,39048.14453125
46,179278.79895833333,34898.66796875,39048.14453125
