h,m_b,W
2,45,91209.738650777
2,50,92356.48907817394
2,55,92528.41761067919
3,0,92074.73599044408
3,5,96870.53911458334
3,10,91767.0893194228
3,15,95295.28433318734
3,20,97966.90653742474
3,25,95547.83512209762
3,30,103368.1185937533
3,35,95406.33826010139
3,40,97456.54671877001
3,45,94747.63756791974
3,50,101669.00273570033
3,55,111301.43173825419
4,0,106536.14521290264
4,5,106217.03407415538
4,10,105249.24489584002
4,15,106714.64294761827
4,20,106335.21989585666
4,25,119044.7806449731
4,30,122264.63868499325
4,35,120481.23450522663
4,40,124915.1174778412
4,45,127900.19313653023
4,50,132061.87690105333
4,55,130423.8490572447
5,0,133809.15888019
5,5,133372.65212015153
5,10,131269.80265624335
5,15,139919.44081439395
5,20,136894.57098958333
5,25,143095.82120988175
5,30,136112.82888020668
5,35,138140.89656986532
5,40,128839.2887750569
5,45,136500.92252603665
5,50,143170.56912076272
5,55,157641.02248953976
6,0,156194.5941170302
6,5,161090.71261535236
6,10,159535.86833333335
6,15,154593.17657305743
6,20,150422.81848958333
6,25,153545.04453125
6,30,147210.0640308277
6,35,148393.78172189597
6,40,148016.95822916666
6,45,148658.02924408784
6,50,150415.7509375
6,55,150214.01653645834
7,0,140536.75736531988
7,5,137668.83617265886
7,10,141855.9340625
7,15,138668.33048198983
7,20,136699.57626985284
7,25,138554.80567708667
7,30,141033.18522245763
7,35,135466.78210936332
7,40,137400.72447916667
7,45,141328.90767525337
7,50,141917.14637332776
7,55,142745.643359375
8,0,142869.92018008474
8,5,137636.59850542143
8,10,136533.5236210235
8,15,139212.57508973987
8,20,137654.48765625
8,25,139396.3669000836
8,30,143906.3119193412
8,35,142901.53554687666
8,40,153964.79034280937
8,45,152414.2590793919
8,50,156018.85666666666
8,55,162306.93743489584
9,0,156441.8123940678
9,5,160376.37963541667
9,10,163539.8059375
9,15,164608.49234586148
9,20,163041.53880208332
9,25,169222.46649538592
9,30,163685.37800886825
9,35,164471.480625
9,40,160049.7314485786
9,45,163503.66010346284
9,50,171541.30088541665
9,55,177169.97846638656
10,0,172641.6172138047
10,5,176840.33432291666
10,10,178225.99636994948
10,15,176215.638317953
10,20,177540.25932291665
10,25,179598.9153950669
10,30,177400.32901936027
10,35,173633.05255208333
10,40,174208.5209375
10,45,167549.95169491525
10,50,170068.72416877103
10,55,173021.60846354166
11,0,167205.8032193792
11,5,166018.45365109429
11,10,167356.62203125
11,15,162430.09306144068
11,20,155476.89494791668
11,25,151416.58090394296
11,30,149010.09364513424
11,35,145696.423125
11,40,147170.39658994932
11,45,145644.96447916667
11,50,143719.44429347827
11,55,148897.7167637712
12,0,141601.8853125
12,5,143383.1062395485
12,10,137577.12518351676
12,15,134080.23270832334
12,20,130332.56410459259
12,25,127861.73304687334
12,30,128943.78945708417
12,35,128335.56887541473
12,40,131105.32466144
12,45,133141.9834776115
12,50,134910.15640624668
12,55,136766.1142578125
13,0,132422.11560390537
13,5,136048.91335938664
13,10,132970.28318355186
13,15,136423.9615181588
13,20,133770.99296876663
13,25,138743.53377525252
13,30,141752.05274748322
13,35,144488.04234375
