h,m_b,W
23,40,98891.39153643999
23,45,98643.87682290668
23,50,102401.14257813002
23,55,97778.35638020834
0,0,99991.27666667664
0,5,100550.00023436999
0,10,101386.44749998001
0,15,96980.02601564999
0,20,97407.87479165001
0,25,103623.16648433672
0,30,98492.43593748337
0,35,95777.81828126333
0,40,96148.91763022666
0,45,101950.91674479333
0,50,95431.52979167333
0,55,96520.34208983336
1,0,98209.88854169994
1,5,95918.94783853667
1,10,96588.97333335332
1,15,94658.60877606997
1,20,92544.73580729334
1,25,92524.73445310004
1,30,97227.27979164002
1,35,94992.15171875666
1,40,94516.49703124669
1,45,96744.68377600341
1,50,99375.39054688331
1,55,103978.48671871253
2,0,98942.7756249767
2,5,103723.5195052233
2,10,102548.62749998667
2,15,105425.8442708067
2,20,99588.46526046326
2,25,97916.92268230666
2,30,101971.74804687999
2,35,103148.60927084333
2,40,100057.48484377995
2,45,98619.22604166665
2,50,103365.65414064
2,55,101776.36930338336
3,0,105949.6184375433
3,5,112380.08106770004
3,10,110667.36872394
3,15,101369.93632814998
3,20,111104.96385415335
3,25,126668.67328126334
3,30,130599.64221354
3,35,133941.03317710664
3,40,131632.92388020002
3,45,132062.41854164668
3,50,133018.37971354002
3,55,140800.03912760416
4,0,143566.38697916668
4,5,160424.02520833333
4,10,161902.72942708334
4,15,166223.07859375
4,20,159215.24119791668
4,25,151622.21427083333
4,30,162377.16348958333
4,35,168423.56942708333
4,40,168780.41395833335
4,45,187551.27234375
4,50,183334.42604166668
4,55,177876.82864583333
5,0,185021.49114583334
5,5,177733.83536458333
5,10,178664.44390625
5,15,191062.68427083333
5,20,199742.08463541666
5,25,203683.93333333332
5,30,199700.61854166666
5,35,207986.39380208333
5,40,203433.92833333334
5,45,206575.90348958335
5,50,204037.95135416667
5,55,207293.12584635417
6,0,203553.0146875
6,5,204623.33901041668
6,10,211478.83265625
6,15,203912.3596875
6,20,208526.94822916668
6,25,212002.34333333332
6,30,210032.0778125
6,35,196494.52338541666
6,40,197947.80479166665
6,45,202571.83369791668
6,50,199032.45302083335
6,55,203621.25065104166
7,0,199925.02578125
7,5,200931.81921875
7,10,198967.84526041665
7,15,198226.50161458334
7,20,186938.46536458333
7,25,195323.50817708333
7,30,186548.81109375
7,35,184555.60411458334
7,40,183297.51057291665
7,45,192442.571875
7,50,182813.675625
7,55,195324.13763020834
8,0,182948.65385416665
8,5,184854.72375
8,10,187904.39817708332
8,15,189558.32796875
8,20,188077.82869791667
8,25,178650.37088541666
8,30,186279.40364583334
8,35,183837.40401041668
8,40,187951.36296875
8,45,180522.80640625
8,50,191154.04765625
8,55,184577.3322265625
9,0,188403.85130208332
9,5,190810.55875
9,10,202185.42390625
9,15,197095.84713541667
9,20,205508.23067708334
9,25,208815.19958333333
9,30,210746.85520833332
9,35,218297.90046875
9,40,215084.76551177536
9,45,211738.39480452676
9,50,220009.00205910852
9,55,217591.86985404193
10,0,221169.56030009026
10,5,221741.04906952247
10,10,
10,15,222747.28485576922
10,20,
10,25,
10,30,214876.7726521164
10,35,220660.07890625
10,40,216213.24317708332
10,45,224547.479375
10,50,220274.11916666667
10,55,221292.2001953125
11,0,220416.79119791667
11,5,219424.91489583332
11,10,222293.49302083332
11,15,220549.98635416667
11,20,209673.96651041668
11,25,218805.41276041666
11,30,219415.97885416666
11,35,212473.42859375
11,40,200536.47401041666
11,45,196676.61869791665
11,50,195578.67885416668
11,55,203509.0453125
12,0,192819.32697916665
12,5,187086.43395833333
12,10,190387.91296875
12,15,188074.74770833334
12,20,184083.55630208334
12,25,183312.61817708332
12,30,179498.21130208333
12,35,174439.79822916666
12,40,172716.66989583333
12,45,173194.24697916667
12,50,166957.78046875
12,55,173914.76595052084
13,0,171826.89255208333
13,5,168584.78958333333
13,10,187317.2928125
13,15,197048.32348958333
13,20,205542.20859375
13,25,209728.57359375
13,30,210085.329375
13,35,207352.67846760797
13,40,207235.575625
13,45,199610.70276041667
13,50,201670.31375
13,55,201219.99127604166
14,0,202132.30796875
14,5,182017.59885416666
14,10,183035.26442708334
14,15,182290.43786458333
14,20,176861.75057291667
14,25,182249.14333333334
14,30,175873.24682291667
14,35,178779.05895833333
14,40,176300.82244791667
14,45,169621.23401041667
14,50,163805.23109375
14,55,159550.4138671875
15,0,158051.05338541666
15,5,151646.67828125
15,10,151155.09166666667
15,15,153630.98046875
15,20,148836.59828125
15,25,144489.24854166666
15,30,152693.6675
15,35,139706.41765625
15,40,132056.61153644335
15,45,139564.48869791668
15,50,135835.52119791333
15,55,138756.31093749584
16,0,133666.50289062667
16,5,131080.12658854
16,10,129969.03994790668
16,15,135588.39408853668
16,20,130288.62111980664
16,25,134599.34979167665
16,30,130428.79979166333
16,35,134705.62651040667
16,40,135574.05979166666
16,45,135159.43466146
16,50,133987.1379426867
16,55,131277.76367188746
17,0,128083.43388021333
17,5,126966.84755209334
17,10,127958.86901042666
17,15,126892.75341144671
17,20,124926.71874998671
17,25,122896.30028642672
17,30,126034.28578125665
17,35,123732.02
17,40,128856.77807291997
17,45,120387.74059893002
17,50,126594.4854166467
17,55,123881.13033855414
18,0,123413.12526042998
18,5,122193.35164064333
18,10,121700.02429689666
18,15,125257.13507812336
18,20,122617.60825521333
18,25,120855.84703127993
18,30,121690.75010416
18,35,121909.3723958167
18,40,119623.00893231
18,45,117819.5196353634
18,50,125085.3819531466
18,55,125102.22386067917
19,0,124317.12190104999
19,5,118234.86778644666
19,10,121082.25427085995
19,15,121608.60770275249
19,20,117316.29171873668
19,25,121499.7270573133
19,30,121999.30981770334
19,35,119911.30828126664
19,40,119649.52239581669
19,45,120888.95072917998
19,50,116412.34291666669
19,55,119088.8399414
20,0,118635.13145836997
20,5,118514.62338537337
20,10,118832.42440103338
20,15,114479.64570309668
20,20,120240.18929686
20,25,118066.75307292
20,30,115815.21570314
20,35,121522.25828126333
20,40,119311.73132817325
20,45,119103.40411458666
20,50,117107.28010418663
20,55,121539.41289064995
21,0,120449.63460939663
21,5,119822.62958336329
21,10,118936.27718750999
21,15,115027.3984120684
21,20,115589.60510417665
21,25,113596.49914063
21,30,107613.51367186336
21,35,111420.17447916996
21,40,111297.31096355997
21,45,111787.61526039001
21,50,107630.54645835333
21,55,111508.11686199164
22,0,109654.65986978334
22,5,110317.53945314331
22,10,107433.7391927033
22,15,109620.65690102
22,20,104236.84687501001
22,25,102826.62947917667
22,30,110955.53523439329
22,35,108930.05760418999
22,40,103440.31609370337
22,45,103605.99419264008
22,50,106081.16489586663
22,55,98955.13323566254
23,0,105022.11153646333
23,5,105095.99052080337
23,10,103069.58700522667
23,15,103283.84978576252
23,20,100956.29213541001
23,25,105743.01067707667
23,30,105901.51786455337
23,35,100775.17799476336
23,40,104256.47684896995
23,45,105706.86776041998
23,50,105519.67815107998
23,55,106620.88795571252
0,0,99065.24789061665
0,5,106908.4722916733
0,10,104690.91585938
0,15,104701.35895834668
0,20,107741.61382812669
0,25,104503.27502605664
0,30,106360.71942709667
0,35,100557.34174477005
0,40,102571.23596355332
0,45,104949.87726563666
0,50,99553.53828124999
0,55,100667.25970052912
1,0,102150.00953125663
1,5,98690.706875
1,10,99209.63500000666
1,15,100179.01541599332
1,20,97372.49317708667
1,25,96540.60226563332
1,30,96512.55645833001
1,35,100248.72080731999
1,40,91334.09820311003
1,45,96024.61794266338
1,50,97984.22359374333
1,55,101693.76904295835
2,0,96818.65710937005
2,5,99823.62736978997
2,10,97995.03557290006
2,15,94337.34424479
2,20,102019.80968751997
2,25,101595.13781248001
2,30,93625.15770834331
2,35,96405.8933072767
2,40,97936.26817708332
2,45,100786.03460936667
2,50,95991.82575519671
2,55,99633.63274736672
3,0,100378.38195313665
3,5,96517.26874997666
3,10,96768.61289061666
3,15,99961.9572272107
3,20,101286.93231772336
3,25,98760.56843753997
3,30,104722.91731771333
3,35,99712.55273437996
3,40,99820.49135416665
3,45,105250.96875001333
3,50,110474.65450522998
3,55,106679.90046419662
4,0,105621.59341146666
4,5,109995.10966149
4,10,104280.47460937333
4,15,111026.9850000233
4,20,111585.24638019668
4,25,115360.13140626329
4,30,113014.90075521002
4,35,117606.93731771666
4,40,118300.88966143338
4,45,118106.95455729333
4,50,126923.94677083996
4,55,131420.85068359168
5,0,124128.70916666334
5,5,124745.53427084329
5,10,131764.6866406267
5,15,133999.96054557525
5,20,127576.80304688001
5,25,126013.39958332
5,30,134046.82109376
5,35,136938.46223958998
5,40,132824.33544270668
5,45,131932.49570312668
5,50,132914.27257812666
5,55,134310.42285155834
6,0,134593.66656250332
6,5,132942.60976564663
6,10,132461.70773435666
6,15,133358.14375001995
6,20,139491.2796773539
6,25,132820.96385417998
6,30,129687.35182292332
6,35,137819.74299479666
6,40,134038.69440105
6,45,132553.58286460664
6,50,134518.32039062004
6,55,144375.02454427083
7,0,147555.93869791666
7,5,152373.11828125
7,10,152213.68479166666
7,15,163499.61757943145
7,20,149283.72786458334
7,25,139063.50807291668
7,30,141974.37578125
7,35,154858.48682291666
7,40,151515.14932291667
7,45,141411.05671875
7,50,151283.44291666665
7,55,140362.15748697918
8,0,140227.9634375
8,5,147002.03427083333
8,10,150932.41734375
8,15,148461.94921875
8,20,148434.95427083335
8,25,140581.28854166667
8,30,141616.24411458333
8,35,149922.3671875
8,40,145749.81778646333
8,45,142906.6446614633
8,50,154617.62817708333
8,55,148924.69108072916
9,0,156357.72072916667
9,5,150092.0059375
9,10,143836.94302083334
9,15,141750.3062813545
9,20,142369.8990625
9,25,147667.7090625
9,30,153260.691875
9,35,153095.125
9,40,155235.5528125
9,45,155323.36739583334
9,50,154250.49026041667
9,55,156647.54576822917
10,0,153200.78442708333
10,5,151034.61182291666
10,10,157223.03276041665
10,15,161760.10197916668
10,20,157121.26463541668
10,25,155163.29927083335
10,30,156291.38260416666
10,35,147180.31713541667
10,40,140356.25838541667
10,45,141366.14739583334
10,50,149236.34572916667
10,55,153074.92096354166
11,0,150508.08966779278
11,5,150529.20401041667
11,10,145757.71085164836
11,15,144305.11926855895
11,20,131739.60706900258
11,25,145784.139349483
11,30,149906.63932291666
11,35,153269.50402706186
11,40,148298.17073863637
11,45,137336.1858675373
11,50,130006.6813858551
11,55,133462.77473958334
12,0,
12,5,
12,10,
12,15,
12,20,
12,25,149969.47365552327
12,30,
12,35,133625.8247195684
12,40,133019.07611980333
12,45,135867.97072916667
12,50,139017.23130208332
12,55,139675.74622395833
13,0,136973.89614583002
13,5,131959.94270833666
13,10,135227.50515624002
13,15,137878.2296875
13,20,135401.30903644668
13,25,136323.57440104333
13,30,134635.75835936668
13,35,133093.53218750664
13,40,132130.70570311003
13,45,134213.08499999667
13,50,128398.56927081004
13,55,131866.69850259586
14,0,133917.21197916998
14,5,137768.69020833334
14,10,131654.4692968634
14,15,132986.80213542667
14,20,136842.53828125
14,25,127258.18783853002
14,30,125003.23260413004
14,35,127464.15523438665
14,40,132711.42833333666
14,45,128680.78703126663
14,50,134495.04432292335
14,55,130490.82845052081
15,0,131671.23010415336
15,5,129532.77080729666
15,10,131318.5365885533
15,15,130102.12734374334
15,20,125978.82830729999
15,25,135301.42981769668
15,30,135435.31908854333
15,35,130428.76901039004
15,40,130508.55867188665
15,45,135881.63468750665
15,50,128158.99697919331
15,55,124043.20387370832
16,0,126956.18757811667
16,5,130723.87609375665
16,10,122118.44401043333
16,15,122590.92651039333
16,20,128955.91250000335
16,25,121581.81424478005
16,30,129713.63184894666
16,35,130887.99531250332
16,40,127394.25085935001
16,45,122096.46596354998
16,50,125528.41466143668
16,55,118840.87591145835
17,0,126493.90033852668
17,5,130667.65940103002
17,10,121207.45921874001
17,15,121753.04354166331
17,20,121248.76822917665
17,25,121697.8241666467
17,30,121031.58372396996
17,35,127062.50442704004
17,40,127534.31216144668
17,45,122266.1654687467
17,50,125227.42721353334
17,55,122012.55126954165
18,0,120342.51510415
18,5,122242.73510414337
18,10,123159.17914064665
18,15,121752.50744789005
18,20,125461.55781244673
18,25,123999.96018230332
18,30,120916.11489582667
18,35,120652.25195312334
18,40,118947.68187501997
18,45,113721.66838540668
18,50,113981.58106771663
18,55,122179.85260418331
19,0,112575.99257812333
19,5,118174.69744792998
19,10,118524.07874997337
19,15,118149.48684895334
19,20,120018.76169271
19,25,114953.28364585666
19,30,115702.88072915003
19,35,109603.62380207333
19,40,110472.29786458667
19,45,113164.44427082002
19,50,111893.02028645333
19,55,111385.82516275415
20,0,119160.00934901324
20,5,113025.66565107663
20,10,114088.96278642339
20,15,115978.4210156433
20,20,114956.17598959664
20,25,98109.67976564335
20,30,107406.6722656167
20,35,100898.12630206336
20,40,105064.12632813666
20,45,105940.29510417
20,50,106644.45026041998
20,55,102307.52223302922
21,0,102184.39315107328
21,5,109432.41627606995
21,10,102566.46177082001
21,15,106018.12375000998
21,20,106949.36861979001
21,25,96784.51492188995
21,30,105040.13671879996
21,35,101329.15239585329
21,40,101372.22614582667
21,45,101178.78971356
21,50,105095.37820313998
21,55,101604.26923833328
22,0,101686.22260417999
22,5,104096.33442705336
22,10,102207.07523436671
22,15,99951.00986980998
22,20,103647.59541667665
22,25,100512.28669272
22,30,99827.53213539335
22,35,98045.3020572667
22,40,103545.16250002665
22,45,94320.43986977666
22,50,101535.34507813664
22,55,99195.71927085829
23,0,99359.47020834997
23,5,98211.26979168666
23,10,98687.44809897333
23,15,98909.49942708331
23,20,96206.52869790666
23,25,94809.0939062433
23,30,99361.05945315659
23,35,97994.55562502667
23,40,99597.27135417
23,45,97568.81627602337
23,50,100773.1366927266
23,55,98657.97220051667
0,0,101761.69458335666
0,5,96982.64473959
0,10,99082.77447917001
0,15,100718.69432290667
0,20,99743.93755206332
0,25,97760.93020833668
0,30,98136.26934898665
0,35,99756.05276043333
0,40,94971.92062501665
0,45,95257.06963541001
0,50,103156.69380205004
0,55,94800.68193360833
1,0,95934.40468749664
1,5,92604.2985937467
1,10,95242.44739581003
1,15,92632.85440106664
1,20,94842.02132812
1,25,96770.79401040668
1,30,93569.36877603331
1,35,91209.72953125664
1,40,95952.79132807671
1,45,91007.52330733328
1,50,90651.92015624004
1,55,96335.81598306248
2,0,91707.34312498668
2,5,96706.68322920664
2,10,95916.07252603667
2,15,98076.49606769336
2,20,92142.65966144335
2,25,92339.34182292332
2,30,93340.26742182672
2,35,96495.14606770333
2,40,94159.60518230997
2,45,97210.42981769335
2,50,97657.05942711995
2,55,98550.85192056255
3,0,93816.87760416669
3,5,100048.08958334997
3,10,93518.99473957004
3,15,99972.92299476337
3,20,100272.15901044996
3,25,97099.24276043999
3,30,99085.90604167664
3,35,98051.82843748666
3,40,100924.79044269669
3,45,91617.15000002328
3,50,100248.92289064662
3,55,99571.88499348336
4,0,99431.72869790667
4,5,101516.11817707332
4,10,103462.69614585
4,15,106988.20877602002
4,20,103330.4341145867
4,25,106624.89489584997
4,30,110212.08442707667
4,35,110944.54130211001
4,40,109440.50226562
4,45,107304.87773436002
4,50,109443.71010416998
4,55,108158.93974611668
5,0,111979.10320315328
5,5,111566.42536459002
5,10,113408.6737760167
5,15,115862.95971353665
5,20,116103.41973961331
5,25,112564.16690104666
5,30,118962.73234378328
5,35,128094.21973959667
5,40,121562.89447915333
5,45,122861.45010415
5,50,130115.18190104
5,55,148224.46705729168
6,0,139658.02119791668
6,5,135828.62190103336
6,10,130520.48609374334
6,15,125255.10833332998
6,20,138054.80536458333
6,25,136877.94752604666
6,30,130439.64562503996
6,35,130943.52341145664
6,40,140959.56010416665
6,45,146943.50458333333
6,50,140277.73796875
6,55,128048.08779299165
7,0,124742.71880208999
7,5,123882.67497399
7,10,125231.50791664004
7,15,125845.41710941997
7,20,125644.43729167
7,25,125025.3850520467
7,30,142279.60302082667
7,35,146605.85473958333
7,40,137909.66854166667
7,45,136677.71
7,50,137171.74559895668
7,55,130339.84186198332
8,0,123099.10901040999
8,5,129189.87335936665
8,10,127953.18531253329
8,15,134613.80749999333
8,20,142532.60963541668
8,25,136015.82216146332
8,30,137172.04630208667
8,35,138331.65348958335
8,40,143285.02911458333
8,45,146228.71769153225
8,50,138598.55442708332
8,55,145229.50657552082
9,0,148950.50432291668
9,5,145087.64653645668
9,10,136961.47996794872
9,15,141688.07364583333
9,20,141065.96817708333
9,25,135667.04380208332
9,30,140761.71098958334
9,35,138586.2408333367
9,40,150905.08229166668
9,45,149976.96427083333
9,50,150054.68661458333
9,55,144491.123046875
10,0,143160.34921875
10,5,145873.61291666667
10,10,151490.63494791667
10,15,154606.61880208334
10,20,146212.0184375
10,25,140359.94557291668
10,30,142167.17671875
10,35,149353.2153125
10,40,143288.95708333334
10,45,145172.57885416667
10,50,137714.72776041666
10,55,147714.716796875
11,0,133239.72286458334
11,5,136013.4696875
11,10,140508.14359375
11,15,140475.83177083332
11,20,138882.07546875
11,25,130278.26960935669
11,30,129922.76921873003
11,35,127379.07677084998
11,40,140300.29291666666
11,45,138552.47875
11,50,141472.47171875
11,55,142043.10852864583
12,0,142002.12880208998
12,5,129568.68562501666
12,10,129831.28940103002
12,15,134993.45687499334
12,20,138782.8339062234
12,25,135750.17221354
12,30,134375.69794271
12,35,132336.81830729003
12,40,137991.33984375
12,45,136225.07145833335
12,50,135244.34403645335
12,55,132321.8096028833
13,0,138865.28213541667
13,5,137001.12333333332
13,10,137879.05127604
13,15,143067.11354166668
13,20,131461.16666666666
13,25,133712.62182291335
13,30,134666.86463542
13,35,133528.47867187002
13,40,126098.09403649993
13,45,128943.19914062334
13,50,131022.88002602669
13,55,123497.27024737916
14,0,124520.67653643667
14,5,127197.39065101002
14,10,119278.1634375233
14,15,120323.82427083666
14,20,125352.60033855
14,25,117636.83033851003
14,30,121443.55960937664
14,35,122106.23328125998
14,40,119329.54278645667
14,45,124114.25510416004
14,50,118971.9512239633
14,55,130889.01699221246
15,0,119747.7042187633
15,5,126302.72393229
15,10,124718.51273439
15,15,120602.75643227337
15,20,125185.29846352669
15,25,125884.82315105334
15,30,128403.18013020665
15,35,123065.26817708336
15,40,128930.25166665998
15,45,123678.42690104665
15,50,128704.27005206003
15,55,136765.11350912918
16,0,129012.6511979
16,5,126094.29348959334
16,10,124405.66729165666
16,15,126463.90945310004
16,20,127054.20203124001
16,25,130869.76002604
16,30,131569.28942710662
16,35,120088.21453127332
16,40,130060.39908852667
16,45,125188.48119790666
16,50,122541.78414062664
16,55,122770.50146487077
17,0,123532.86705728335
17,5,126076.74307292998
17,10,118287.99601562996
17,15,121289.72567410035
17,20,116877.70718752997
17,25,119052.41934893337
17,30,119391.64523437335
17,35,121490.34229166665
17,40,123804.07114583334
17,45,119086.77859375668
17,50,126479.68010417333
17,55,119389.18945314163
18,0,128125.47122393335
18,5,125861.97960936333
18,10,121265.5579427333
18,15,124997.03406249335
18,20,123736.97153642007
18,25,128889.09411459666
18,30,125594.45276041667
18,35,119677.28494790338
18,40,124061.44739583334
18,45,119131.48684894333
18,50,128898.28679686332
18,55,124690.97451175826
19,0,127384.22286454673
19,5,121319.20484376667
19,10,126867.61903645
19,15,126930.85563857858
19,20,119466.32486978668
19,25,128095.30458336667
19,30,123142.7466666167
19,35,124316.70802082332
19,40,119380.44210935335
19,45,125004.53867187334
19,50,124586.82692706336
19,55,110978.93141277082
20,0,124218.17153646663
20,5,121405.0925781
20,10,119585.32411455669
20,15,118514.55697915338
20,20,116708.57382811331
20,25,117228.32369792
20,30,114977.15901043997
20,35,120877.72822911672
20,40,120535.1311978967
20,45,115219.97585935336
20,50,119985.9738801867
20,55,118230.06998699164
21,0,116934.42013019334
21,5,122725.02304685667
21,10,118464.83565103667
21,15,118151.12903650329
21,20,110169.34351557335
21,25,114314.55166671328
21,30,111449.06153644998
21,35,115948.99367186005
21,40,111999.96281251333
21,45,111507.86770834003
21,50,107550.18635417001
21,55,107086.4513346416
22,0,102145.54656252662
22,5,106731.35565104333
22,10,109021.79322916335
22,15,109240.06307294664
22,20,107321.3242448
22,25,103645.78942712997
22,30,102792.13372397334
22,35,104620.48257811004
22,40,106308.35158853003
22,45,105612.62526042663
22,50,104411.23859375666
22,55,109215.0095703042
23,0,101287.72572915336
23,5,104402.73799479
23,10,105403.92567706335
23,15,107519.29635415335
23,20,102685.48973961332
23,25,107431.32653645665
23,30,109684.85684897997
23,35,114805.29744791995
23,40,108297.47166666666
23,45,108625.79736979997
23,50,114220.89065105337
23,55,112921.42897133755
0,0,113022.6729687866
0,5,112540.5877343567
0,10,114415.27731771665
0,15,106044.74002606663
0,20,112490.37869791669
0,25,112210.9317968933
0,30,110117.09765628
0,35,107226.56875001
0,40,110526.94604165001
0,45,111375.27328124335
0,50,108088.75447914671
0,55,105294.49254559164
1,0,114287.50562499002
1,5,103312.83119791665
1,10,103719.68510419
1,15,106793.3467968933
1,20,105655.75986979333
1,25,109082.35317709664
1,30,103204.26770830005
1,35,108188.67486981332
1,40,101955.59088543664
1,45,100210.59216147997
1,50,105931.58679685667
1,55,104795.13274739169
2,0,105653.14414062338
2,5,105642.78096351666
2,10,110897.75091146334
2,15,107357.80348959331
2,20,102879.73111976002
2,25,107160.33335941662
2,30,103805.5430208034
2,35,103682.47638017671
2,40,110998.67018229
2,45,111410.54429689
2,50,103996.99708330337
2,55,102629.54147135
3,0,112456.54453126334
3,5,108723.41039061335
3,10,112868.78528643007
3,15,110309.33054688667
3,20,122770.58130208663
3,25,134854.49119790335
3,30,134925.69385415668
3,35,151161.95645833333
3,40,155079.26385416667
3,45,148602.51161458335
3,50,147415.23130208332
3,55,147769.12799479166
4,0,159052.8484375
4,5,164018.51557291666
4,10,155786.99369791665
4,15,146937.54708333334
4,20,150991.805625
4,25,153060.66536458334
4,30,155344.7290625
4,35,161379.669375
4,40,165079.02921875
4,45,171944.45984375
4,50,167162.2925
4,55,175727.852734375
5,0,173215.76020833335
5,5,180299.22567708333
5,10,181015.24114583334
5,15,180181.33109375
5,20,179717.88333333333
5,25,180548.57489583333
5,30,195221.28911458334
5,35,198419.96151041667
5,40,206349.75114583335
5,45,207590.195
5,50,198091.88078125
5,55,199988.30553385417
6,0,196176.5934375
6,5,196155.29578125
6,10,203470.59015625
6,15,204857.5896875
6,20,209176.47979166667
6,25,192812.43885416666
6,30,189376.11703125
6,35,190678.52213541666
6,40,200968.819375
6,45,202601.73911458332
6,50,201245.5096875
6,55,191950.4201171875
7,0,191644.90114583334
7,5,200442.26666666666
7,10,207775.93119791665
7,15,207558.44088541667
7,20,207904.5590625
7,25,207146.14286458332
7,30,207112.26109375
7,35,200677.0109375
7,40,200406.12171875
7,45,208962.50921875
7,50,210295.47088541667
7,55,200374.03014322917
8,0,188231.9403125
8,5,198535.03416666668
8,10,205022.5321875
8,15,210664.90078125
8,20,210530.69692708334
8,25,211462.3146875
8,30,217671.43614583334
8,35,227845.01848958334
8,40,215444.59208333332
8,45,215021.83520833333
8,50,213051.29197916668
8,55,219835.68899739583
9,0,252112.92885416668
9,5,251116.71614583334
9,10,251586.67848958334
9,15,258502.75807291668
9,20,251226.86192708334
9,25,270471.63145833334
9,30,266595.1823958333
9,35,258382.21973958332
9,40,262258.1170833333
9,45,262877.06385416666
9,50,269818.0760416667
9,55,256898.44069010418
10,0,269034.97869791667
10,5,267467.67963541666
10,10,232054.91880208332
10,15,224488.651875
10,20,233737.93135416668
10,25,224214.88057291668
10,30,216494.12890625
10,35,213252.2028125
10,40,230423.3575
10,45,222822.96796875
10,50,220431.20578125
10,55,217530.94049479166
11,0,229208.75651041666
11,5,226666.91578125
11,10,218625.42
11,15,224143.32431020067
11,20,225079.185625
11,25,214325.59255208334
11,30,215201.55984375
11,35,216043.19276041666
11,40,209850.4753125
11,45,202026.83244791668
11,50,205680.92364583333
11,55,204821.8966796875
12,0,197226.69015625
12,5,192452.75708333333
12,10,194051.62921875
12,15,196574.34932291668
12,20,189104.7921875
12,25,176887.78359375
12,30,173016.95984375
12,35,172581.85276041666
12,40,185069.03661458334
12,45,175911.97197916667
12,50,175869.56494791666
12,55,172444.23567708334
13,0,172004.39572916666
13,5,166322.93317708332
13,10,168116.10286458334
13,15,164855.00192708333
13,20,161232.4284375
13,25,159738.56520833334
13,30,164201.62348958335
13,35,156356.58401041667
13,40,165777.12859375
13,45,169182.97838541667
13,50,166636.98421875
13,55,169375.04759114582
14,0,167692.85567708334
14,5,163980.36953125
14,10,158992.33541666667
14,15,160179.40479166666
14,20,158838.78072916667
14,25,154052.66604166667
14,30,151635.06828125
14,35,153755.09796875
14,40,158289.96661458333
14,45,153123.4628125
14,50,157009.1259375
14,55,158140.71419270834
15,0,147506.27140625
15,5,142950.5853125
15,10,148952.6
15,15,146287.200625
15,20,143832.55619791665
15,25,148716.46671875
15,30,139388.81231770667
15,35,130964.42398438665
15,40,131722.27330730663
15,45,127266.71703125667
15,50,134176.93481771334
15,55,131661.1949218625
16,0,134834.20924478667
16,5,122960.92864581001
16,10,126666.31567705664
16,15,128395.90856767337
16,20,126858.69429687998
16,25,129277.42682294332
16,30,135249.80174479
16,35,139702.1309375
16,40,136656.62921875
16,45,131682.41791669995
16,50,130238.43117186335
16,55,122175.32389321252
17,0,124449.44450519003
17,5,129369.52223959332
17,10,125476.39809892337
17,15,122485.64499999664
17,20,126210.8100520933
17,25,128523.63028645002
17,30,129786.40950520997
17,35,128153.11010416999
17,40,131103.96911461663
17,45,128699.4445573133
17,50,128924.89812502662
17,55,126567.38235677083
18,0,130410.35947915002
18,5,126617.05679690665
18,10,125377.65736979333
18,15,128255.59640625003
18,20,122408.39067709334
18,25,115887.64005208999
18,30,120941.04731772997
18,35,127456.36416665
18,40,125343.70674477336
18,45,122401.23763023334
18,50,124441.98015626667
18,55,120487.35110682492
19,0,122068.12648437334
19,5,124507.11075518337
19,10,122950.83044270668
19,15,118031.84023439333
19,20,121017.36565102669
19,25,121525.78278646003
19,30,118252.80565104668
19,35,107455.62755210667
19,40,113463.03864584997
19,45,112345.02390626002
19,50,113961.48419270669
19,55,114926.11526692503
20,0,114021.13677081335
20,5,112983.65963540335
20,10,112133.34848958664
20,15,105002.57557291
20,20,118651.12979169661
20,25,118552.31885417666
20,30,113679.40999999997
20,35,111185.47578127997
20,40,119161.83963543666
20,45,113076.35578126664
20,50,111797.57231772995
20,55,105483.47692055005
21,0,114791.89039063665
21,5,113541.74182291339
21,10,109065.91210938334
21,15,118216.70252605998
21,20,116105.6652864267
21,25,108145.51721353669
21,30,112472.83911457002
21,35,113115.65419271999
21,40,107543.86328125333
21,45,110569.08437501332
21,50,110318.23070309003
21,55,110227.17174480826
22,0,108653.78375003328
22,5,104556.3286979333
22,10,109731.63015625
22,15,108518.17856770667
22,20,110151.41351562005
22,25,108123.13182292333
22,30,111379.40117189664
22,35,106859.33937501996
22,40,98764.84130209668
22,45,103442.78093751665
22,50,103092.04380208669
22,55,104302.14225260004
23,0,100454.34302081003
23,5,106695.8286198466
23,10,102497.09023438333
23,15,98998.23091144669
23,20,102112.39052083998
23,25,98206.85427084334
23,30,104507.92549483661
23,35,100325.05895828673
23,40,104238.99398435336
23,45,102790.92807292333
23,50,99197.64997394667
23,55,100032.93837888754
0,0,103067.77059897332
0,5,103704.4844010167
0,10,100941.7867968367
0,15,100047.64458335999
0,20,106083.4211979067
0,25,100305.29421877998
0,30,106071.97434895331
0,35,98460.04526044663
0,40,99703.08528645335
0,45,97048.0475000233
0,50,94811.35825516672
0,55,102687.97148440828
1,0,94949.32643231332
1,5,97969.64304686995
1,10,98020.71492182341
1,15,95265.85216143669
1,20,95838.92768230666
1,25,97380.24838540003
1,30,96262.97986979668
1,35,92711.24335937333
1,40,100080.81427080673
1,45,97873.81437501665
1,50,101946.66390626332
1,55,96967.23717446672
2,0,99714.36846358662
2,5,96940.33531254332
2,10,97592.50143228334
2,15,99522.89518230334
2,20,103786.00890624334
2,25,95250.22471352335
2,30,99349.21960934334
2,35,108304.0996874434
2,40,107253.56734376
