Predictions,Actual_Values
83183.36,83675.82799477999
81393.516,89067.89661458998
87672.24,84761.22630208662
81683.4,79745.66453126664
76312.336,87798.07098960664
82846.516,82741.15070309673
77551.15,86367.06713540001
78707.33,83775.04278646334
80171.86,85161.02937499329
81156.68,81166.30393229335
78887.055,82203.55031250337
85242.72,82345.0143880458
77920.09,84668.86567704003
83244.51,82959.15445308007
83755.26,85023.92028641338
82452.36,83231.31335935339
81519.36,83212.02244791997
78674.85,80698.26783853333
89037.86,84418.80354169331
85373.65,81053.10638020004
83420.51,83737.20026041004
83849.414,82533.61591145997
85877.484,83814.16664063669
87662.84,80784.00273432923
88342.445,83388.25638016671
85630.39,82331.80067707668
90206.99,85814.44565100668
89040.91,93197.57593750666
83823.34,80205.12822914003
83462.125,82587.88953129662
90142.28,84398.99096352668
92198.86,84601.05859375666
95171.93,88458.78070314664
93548.21,90471.90283856
92750.95,95272.52705728669
96320.164,92082.30654291672
98381.16,91873.09794272
93229.35,99042.33138020996
99030.266,91734.68921873336
95647.56,93520.59278643003
106247.97,101378.04585935335
99052.32,102288.18911458334
97161.23,102556.75127603332
109632.375,97259.64330727002
104029.4,100404.86963545662
109938.73,100440.50947919332
107446.484,96476.98130210664
110778.7,101975.11985677083
108595.19,102949.1604687267
109390.47,108320.27054684672
108410.05,105612.99013020669
110256.01,104096.31239583332
113491.56,103810.8790625233
114181.63,100934.60104165332
114737.71,101919.65281250664
119533.07,100317.03541661672
116761.85,111279.91695311003
117876.42,106569.33544274993
121559.64,105729.29263023664
123162.27,104571.4426106958
122803.83,108855.73065105996
123397.49,110868.54460939667
128445.625,101033.32341146668
123040.016,110374.8032031566
124750.17,114588.11619788005
124076.49,111688.41924479663
122842.984,110635.91283852668
125309.27,121268.34156250664
133171.9,107094.31841145668
133190.2,119083.00507813333
132552.47,120540.72750003
131724.62,117893.93955076668
133039.3,125076.35510415005
130763.27,122024.89570312665
134660.64,127694.51966145667
132208.14,123287.47377602005
137694.17,118953.85388020665
135379.12,120320.99247395336
140571.27,126926.56466143002
141359.27,118677.71299484324
142852.8,122629.9314843567
137805.6,122821.15036458336
147088.39,114751.41281248006
136427.28,122924.55872393333
140097.92,113997.40903647333
140972.88,117338.69617185336
147682.08,124969.22854168998
141599.23,124323.95247394
139116.27,123295.96171873338
145293.89,116477.15468750664
146119.67,120922.1554947434
145606.19,120335.99145831337
151493.42,122976.44940106994
144513.4,118983.09473957994
152937.36,123939.2243228967
147985.4,121370.55504557086
142556.28,123368.37015625002
151916.64,123240.38143230336
147224.34,120192.93526038669
144937.62,120833.43533853668
146820.17,116693.47252603668
150622.66,119629.36763022
151459.75,133734.87218750667
149293.64,143293.17651041667
150441.56,145393.91197916667
152508.81,142695.96382811668
153393.02,140028.20018229
148530.73,141122.5342773542
145666.92,144823.898125
145413.81,132006.52700520333
145009.88,142735.35307291665
