Predictions,Actual_Values
90863.664,89820.67773437998
90711.23,87665.17927085995
89827.87,85945.86752606
91255.016,89122.36223957667
90259.24,83500.88200520001
90458.625,89780.88713544332
89008.7,91243.3861979167
93225.7,81251.11283556376
91290.03,84772.03804687997
90727.97,87125.69382814666
88427.95,82341.73130208334
92604.51,83065.26881517908
90489.42,85855.93263019668
91870.32,82850.59945310665
90883.12,83912.23958330335
95198.234,86536.00934897998
94417.67,79737.17723958669
95219.64,81652.2999478933
90791.914,85632.76911459664
91028.16,82485.2459114833
96234.78,88681.89955729668
96588.234,87248.04901039999
99607.72,83838.05236977004
92841.11,82933.17190754588
94260.49,84657.59281250999
95474.45,83471.52666663339
98058.24,85480.70057291999
94917.29,83872.11507812997
98777.72,84915.49820308335
97064.59,87291.63091145668
96743.55,81484.59575523331
100335.93,84417.36241608729
105704.1,84268.0985155967
99246.45,85205.33236977336
101364.71,81264.79736976999
102559.4,87641.78486332492
106154.26,84223.65151043326
105421.51,85246.69661459002
101291.49,87003.47932291999
107713.3,80208.25494792662
107138.57,87250.99406249003
107531.125,85763.96085936
107076.71,85077.00572914338
111662.67,89893.53544270662
108899.875,88766.60502601
110213.016,88025.21494794328
114221.49,94055.41942710332
114194.69,98779.74866534169
115737.77,97094.54429688996
115570.07,98605.95333331004
114701.64,113408.36065106335
118687.555,118151.02458334336
116340.83,114368.37265626669
122011.914,109415.26648437334
125484.58,110248.89536455336
124916.445,113549.45155201678
127334.484,120353.43783855332
127672.84,132365.35968751332
127976.17,136027.88065104
132498.11,132982.60016275002
132120.19,144928.91557291665
132644.47,143292.58833333335
133040.0,146419.12447916667
136498.31,148862.644375
136398.58,144236.70286458332
137450.81,154629.22885416663
136145.14,154030.5653125
139858.0,153793.32765625
140150.5,151295.40416666667
137884.95,150987.38
139352.95,146594.26380208333
142371.86,152145.778125
141321.48,150275.78854166667
143764.52,149966.95135416667
147936.3,148650.10526041663
150706.6,141530.41182291668
147348.1,145635.77661458333
