Predictions,Actual_Values
81825.18,89035.17151040002
86045.46,86283.70322919
89926.92,88727.95906252
84317.77,88694.58664056339
86057.55,87830.03005205336
86779.41,89601.22359376668
87278.46,88901.47080728336
88689.5,85300.88536458001
85276.516,89777.22078124332
86236.914,84105.12924479999
86757.3,85677.91023439997
83919.195,96031.60660805002
89869.68,82250.06979165332
86061.19,87581.93648437668
86475.02,84279.59382811667
88432.766,81031.71679688334
89102.49,86463.24164061002
86282.35,84369.16619789999
86975.734,84425.94442709332
88001.63,89421.45072917332
91439.95,83420.76651043001
88949.61,84734.29291668665
86368.47,89135.64177083336
89486.52,85053.42799476665
91874.45,89933.34372397664
89273.12,88363.94312502994
90163.96,84094.65953121337
94744.28,89467.13026041
89960.75,84953.75914064328
96172.93,89047.18544273994
91709.73,92464.14083331668
97495.31,89894.07869791336
95108.375,89685.38828128327
98810.43,95734.46802083
99273.29,91616.71854167333
100653.3,94151.0836262875
100251.84,97761.26304688664
100341.26,99321.38343750664
99453.83,95185.26986981
99708.2,102751.49947917664
98246.17,93191.04190104333
105892.96,98777.84166666667
106675.56,100141.08257811336
104899.77,98312.81908853663
110849.36,109817.96747398996
108452.25,105230.88463540004
113711.08,103519.37505209996
112176.125,112606.07428383756
116759.59,115401.51877602669
117592.73,113397.88335939332
117814.72,122379.62578122002
119898.46,117940.33484377
118499.79,119681.96078125664
123277.58,133148.68828126337
122936.63,126835.16710936332
122177.01,129799.02403645
124344.42,130935.43450522001
124463.555,133726.46872396002
131394.14,137562.90914062667
135035.23,143118.41204427087
130734.97,140528.82989583333
134186.36,140722.48726562667
133296.02,153133.4471875
137312.42,151406.10885416667
138439.75,155001.04979166668
142646.47,157310.73375
141215.73,155193.07609375
146222.69,160149.5378125
145095.89,157856.18052083332
143684.97,158982.58401041667
147058.7,165525.08479166665
147098.03,160159.397265625
152547.81,166762.71348958337
152479.64,162234.53041666668
157829.1,158701.896875
157561.36,160085.97458333333
159711.22,171502.68692708333
159053.02,175341.250625
165602.52,180698.73567708328
162331.75,179539.19776041663
162649.69,172798.93609375
161205.61,182501.53432291668
164412.45,164211.38036458337
168326.95,165614.50891927085
166087.08,174255.39104166668
166111.06,175094.96197916663
171335.4,168262.44697916668
174270.6,173104.20703125
177364.62,164679.39942708332
168754.55,176048.58484375
175623.69,163729.77276041667
174243.86,161168.780625
179658.8,160854.32
176356.14,160144.51708333337
179745.83,157113.315625
174037.03,159503.0287109375
180819.12,153388.4334375
176829.5,153561.48239583333
177875.52,161393.42755208333
184657.33,152563.07395833332
180034.8,149803.11052083335
181371.11,161172.55572916663
180025.92,157391.31526041665
184047.11,162636.105625
183831.02,160301.58541666667
183587.52,161984.31588541667
188662.83,162864.91875
183150.38,166653.8322265625
186904.25,175323.2396875
185878.22,178015.90010416668
183738.81,181423.4567708333
182403.7,185391.42578125
183560.03,187181.8447395833
182896.48,170825.02744791665
184886.03,176198.59671875
183703.84,175517.82546875
186827.77,178816.0515625
179891.56,180769.49223958328
181299.97,181619.80453125
186817.0,180447.74967447922
187948.23,175224.59734375
185241.22,188492.29427083328
182764.62,182827.93020833333
183043.0,184754.97635416663
184525.33,184806.46765625
181404.02,181990.78625
178801.0,182643.78255208328
181846.55,177898.6971875
181108.08,174661.94833333333
180594.08,179850.6934375
186376.58,178104.31276041668
181500.23,172813.196875
177828.38,168522.26088541668
181134.02,164226.54979166668
180408.55,167694.71348958337
174322.05,171479.85979166668
173954.11,159618.58604166665
180116.92,165794.09057291667
177496.75,169294.09286458333
175824.11,166625.1999766791
176061.4,158305.55760416668
173874.27,156528.11984375006
173300.22,150159.22403645836
170935.89,152049.98234375002
172680.19,155589.51471354163
170097.47,157299.28708333333
171761.72,156717.325859375
167649.06,154905.04091311313
168151.9,158138.3549479167
169463.08,154241.70135416667
165432.02,147954.54442708337
163012.03,149894.64004557295
164025.3,151172.226875
163175.97,152001.12322916667
158730.2,145400.17088541668
163919.64,147132.62484375
163437.97,142473.49328124998
156852.56,141997.38723307793
153898.55,139271.45717447833
156150.14,141745.36529948332
153492.02,144826.14609374836
151278.22,142034.8815625
155004.7,142767.7869010417
153754.53,144531.5280306
155168.25,137139.42634115994
147300.5,140734.1215624917
146870.11,136407.99700520837
149141.88,138688.35915365163
144609.22,135353.18218748836
142478.89,130093.07193358336
143279.5,127746.49195311
137724.4,127206.70515013412
141017.19,131324.80078124668
138235.53,132835.92110678332
138646.34,129554.99820312
139320.22,129121.01970376463
133811.19,126298.13138020331
135294.6,127741.408450515
134994.77,123330.283697915
132346.72,126730.61161457506
135850.98,125829.75554688336
131515.56,122765.28761393586
130893.99,122038.60201822332
128364.25,127618.93544271498
126911.77,124990.92523436835
126503.72,119150.00273437498
124208.164,119245.78988280836
128280.65,114302.49042317373
124408.02,116194.54470054164
125386.28,116260.63848958835
128125.78,116186.52890624336
126534.16,115909.27847656664
124188.47,113384.18212240835
123827.23,110141.72091145668
120240.58,116159.13726564332
123151.305,111557.89281252328
120827.984,109023.95962238668
119632.36,110650.81265625168
121326.13,105818.31178384836
120335.234,107378.4888736958
120975.79,105444.34837239832
116548.32,104342.95246094334
117479.3,109350.32398438334
120341.11,107349.94830729498
116891.03,108880.66783856996
119415.11,103300.45760742293
115808.67,108203.49290362668
120024.75,104200.7908854183
115384.63,109631.49276040836
120659.07,106421.86654947998
117049.125,102772.14165367166
118459.734,106462.9377832208
116217.24,108978.67343751332
116278.945,107372.16445309168
117756.09,109680.48468752332
113520.44,106017.82079427832
117563.06,109867.31080729832
115024.305,112793.10062498836
114172.984,105460.19700520164
116021.09,109889.68661458004
115013.93,108404.87764323832
112905.086,109206.96257814496
114866.53,109498.621927075
113081.44,108935.82104819166
115731.15,108092.68178381672
114709.57,109995.631601585
113726.1,104189.7658854383
112316.695,106870.16678382836
111348.125,108415.55486980164
114196.484,104925.80591470336
110289.57,105545.30981770832
113044.03,108863.89057291168
109138.74,105884.80126300668
111880.64,105739.49588540664
109552.45,106325.28039062169
110886.73,104503.11433590877
107572.23,105663.71472656836
110052.12,100886.607486975
109722.06,105617.28476563332
107630.63,108171.71274738666
107542.586,103719.00684895004
107362.67,101884.19172852628
109426.65,100271.56666666002
107439.34,101506.92169272332
108166.17,102675.17194010835
108493.39,105679.64480471663
107709.77,106784.6285807433
106350.77,103050.52833982918
108035.555,107684.7260937284
104847.93,102448.49507812834
108232.37,100815.183268205
104350.29,99117.93122393836
105302.25,101985.00261718336
105891.92,101098.48988932584
105259.27,103900.04984375
102842.18,99172.60707032496
103339.6,100539.25372396164
101391.71,101558.68592446668
100345.78,101938.55003907328
103657.984,102831.02220704083
103201.484,100651.98404948668
101453.44,98210.53451822836
100362.01,99762.268593765
97100.06,99085.53175782664
99645.914,95173.22691407832
99253.45,93912.12911459623
98001.414,93456.440221355
97899.23,92902.80162761666
91609.69,91504.06455729665
95736.3,92500.32811201162
97638.9,91138.57212235172
97775.18,91808.76901365377
95819.77,88735.61428385501
95687.4,91182.62907550666
95423.52,87908.722447915
94451.54,91845.316328125
95588.45,93121.19151041168
93626.31,87786.38071942372
93516.51,90086.22005207668
95698.945,92066.83083334498
91920.09,86922.21718749669
94423.54,93686.65662759502
91916.23,90642.4105078333
92744.805,89377.43690104294
93112.12,93074.02985677
91215.61,90439.6988150817
89618.516,87591.19095051003
92526.59,90239.308554685
