W
[0.09089943506584319]
[0.09434773496540311]
[0.08403525364784192]
[0.0916598412076724]
[0.09360819715822549]
[0.08748424211145717]
[0.09162186614894702]
[0.0823573575865803]
[0.07816675182140131]
[0.07399261877629892]
[0.06644870561920202]
[0.08020184329411512]
[0.0686556802672853]
[0.08007389789170966]
[0.06891167723560016]
[0.06522620084355335]
[0.060371116479720766]
[0.05907949613138641]
[0.06214198817285249]
[0.06114095837382166]
[0.06372581460874555]
[0.056317399953042524]
[0.051191568085491135]
[0.06224871829626888]
[0.05914324727228032]
[0.05823330199097332]
[0.06176528900834477]
[0.06604537276132139]
[0.0656029644809677]
[0.06346692167901635]
[0.061208623535682405]
[0.06531103744022693]
[0.07189835515773046]
[0.08197744826990849]
[0.08332537780054705]
[0.08461155575374396]
[0.10159036193899662]
[0.10027103997426795]
[0.10359623183958877]
[0.10700379004512955]
[0.11837823108152551]
[0.12995183516230485]
[0.11814306903758076]
[0.12494329430606399]
[0.1321669477628276]
[0.14481343732908253]
[0.1494655254633871]
[0.14319455992670643]
[0.15396352193915386]
[0.17985734995429808]
[0.21416409857327523]
[0.22195179664690323]
[0.22537646624861385]
[0.23112443818324246]
[0.2375194126870101]
[0.25239333818876003]
[0.26478536845354866]
[0.29347691158325356]
[0.3170412734671651]
[0.3224330947062976]
[0.3292673427010265]
[0.34781525469146496]
[0.34520346765537774]
[0.3618670686358683]
[0.37632614178498364]
[0.3740479159195745]
[0.3840314765079365]
[0.3949690628521035]
[0.4028402859332289]
[0.39760577492031296]
[0.4008126569688801]
[0.40666829587347103]
[0.3970631446499982]
[0.38967367301793304]
[0.3830919292999651]
[0.3930404866786065]
[0.3865216227005412]
[0.3783575557567193]
[0.36905202933531417]
[0.3853114477773944]
[0.37125557916982627]
[0.39236866154813005]
[0.38517980105971455]
[0.40067135975394336]
[0.3963028393016091]
[0.3975671599011504]
[0.4004106349764844]
[0.4145429761204173]
[0.4034255803140741]
[0.41465012210452407]
[0.4147892355695694]
[0.38058465142955417]
[0.37702104782291107]
[0.34679473231819286]
[0.3416113439015767]
[0.3246282065636296]
[0.3194857783494001]
[0.3358219318831926]
[0.3200894183931962]
[0.3014855947304464]
[0.29393425215116503]
[0.3052611095085889]
[0.3384502125004218]
[0.3464760840739996]
[0.3834472593860225]
[0.38644546932455287]
[0.39951173400163237]
[0.3951250307886947]
[0.4029339451089455]
[0.3889704481019128]
[0.419601055368428]
[0.40683760856551227]
[0.382021569460163]
[0.41652025864741987]
[0.4079718897753482]
[0.4386080844393148]
[0.4315868978811122]
[0.430079943203782]
[0.438547684864427]
[0.4217210884762174]
[0.41772343119524774]
[0.4263132699660606]
[0.43514754406535433]
[0.39854186569429745]
[0.3993682893583011]
[0.3851800707092686]
[0.392860598334466]
[0.3816507459379301]
[0.3802703377641376]
[0.3745455457747228]
[0.3617433477598359]
[0.3770158288802961]
[0.3842024634319497]
[0.38435334142270766]
[0.3706857305846362]
[0.3603800882415041]
[0.3410922978706034]
[0.3701728746589487]
[0.3638572610079451]
