,Date,W
0,2017-01-02,113884.37675623715
1,2017-01-03,115749.40376579322
2,2017-01-04,114738.96874419207
3,2017-01-05,113232.58148957895
4,2017-01-06,108208.27537324617
5,2017-01-07,90688.6024481864
6,2017-01-08,84337.79552448455
7,2017-01-09,111385.27314785792
8,2017-01-10,108509.2462157984
9,2017-01-11,105530.3696875161
10,2017-01-12,103430.9497561397
11,2017-01-13,102607.5881655868
12,2017-01-14,87073.94603033645
13,2017-01-15,87897.51612762244
14,2017-01-16,104280.61830258832
15,2017-01-17,114818.58890885705
16,2017-01-18,119121.91918519448
17,2017-01-19,116773.51585940858
18,2017-01-20,114201.35767975188
19,2017-01-21,93042.56942277924
20,2017-01-22,91529.23226184977
21,2017-01-23,122445.5668000895
22,2017-01-24,127115.71123362599
23,2017-01-25,125286.23169059768
24,2017-01-26,100813.263386259
25,2017-01-27,118889.85552576502
26,2017-01-28,102307.78558387156
27,2017-01-29,103072.42259439648
28,2017-01-30,126890.12131756035
29,2017-01-31,127768.12652443293
30,2017-02-01,116478.6498198506
31,2017-02-02,123527.55939821393
32,2017-02-03,121705.67143590715
33,2017-02-04,100550.933678479
34,2017-02-05,91117.44128793321
35,2017-02-06,113668.68088212528
36,2017-02-07,113014.85024416052
37,2017-02-08,114415.41864149345
38,2017-02-09,119862.80569047687
39,2017-02-10,120663.21543186242
40,2017-02-11,90686.23127039842
41,2017-02-12,87341.34513928238
42,2017-02-13,123532.36617376785
43,2017-02-14,129230.61782175244
44,2017-02-15,131996.01350840653
45,2017-02-16,151144.07959406028
46,2017-02-17,133946.3475203117
47,2017-02-18,105863.04814789072
48,2017-02-19,103799.50419895547
49,2017-02-20,136126.53864193626
50,2017-02-21,129277.93381117244
51,2017-02-22,128981.9343830097
52,2017-02-23,122871.83590802047
53,2017-02-24,108565.79753311008
54,2017-02-25,106331.46136756414
55,2017-02-26,104154.33340953127
56,2017-02-27,145657.26876061555
57,2017-02-28,158071.29053563366
58,2017-03-01,151134.20361870065
59,2017-03-02,149162.29490449704
60,2017-03-03,145848.12733835168
61,2017-03-04,108437.24863451548
62,2017-03-05,105154.58735219184
63,2017-03-06,137802.26564561675
64,2017-03-07,143687.2967993983
65,2017-03-08,141538.04139656635
66,2017-03-09,137390.7332406382
67,2017-03-10,136883.0949607624
68,2017-03-11,105555.97546275602
69,2017-03-12,84248.73728136261
70,2017-03-13,81624.02637101934
71,2017-03-14,135220.63813005947
72,2017-03-15,143640.6089497791
73,2017-03-16,147488.5397550308
74,2017-03-17,150570.60388210756
75,2017-03-18,122648.73244949026
76,2017-03-19,120908.8290781712
77,2017-03-20,154340.30488778985
78,2017-03-21,158666.52060697353
79,2017-03-22,158706.9532930114
80,2017-03-23,157992.55709807226
81,2017-03-24,153523.75721978355
82,2017-03-25,126757.7769415342
83,2017-03-26,126634.14338044375
84,2017-03-27,196637.2193121822
85,2017-03-28,176420.81783347722
86,2017-03-29,114510.66200961535
87,2017-03-30,167076.30203796492
88,2017-03-31,173625.02305214628
89,2017-04-01,147372.52019418398
90,2017-04-02,136990.28637921
91,2017-04-03,167051.879154759
92,2017-04-04,169145.42055843372
93,2017-04-05,168647.34607306044
94,2017-04-06,171814.78496170478
95,2017-04-07,159246.06267425706
96,2017-04-08,134691.3897275461
97,2017-04-09,130068.84242616784
98,2017-04-10,179055.11961021525
99,2017-04-11,184586.11888664844
100,2017-04-12,189604.85249685613
101,2017-04-13,188186.37153226926
102,2017-04-14,152981.18392590288
103,2017-04-15,144527.84620904055
104,2017-04-16,143700.13098581298
105,2017-04-17,176441.4952591857
106,2017-04-18,187156.05010183828
107,2017-04-19,177548.22200357233
